candidate_patch_source,execution_id,instance_id,repetition,difficulty,repo,candidate_patch_hash,input_label,mas_ops_decision,decided_by,justification,alternative_patch,alternative_label,guardian_iterations,agents_invoked,total_tokens,duration_seconds,confusion_matrix_cell,harness_input_report_path,harness_alternative_report_path,timestamp_start,timestamp_end,error_message,tokens_by_agent__detective,tokens_by_agent__fixer,tokens_by_agent__fixer_guardian,tokens_by_agent__executor_guardian
gold,rodada-2-django__django-11885-rep1-gold-a6bfefd1,django__django-11885,1,hard,django/django,c3097c2e23c45888,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",2810,11.731,TP,logs/run_evaluation/eval-rodada-2-django__django-11885-gold-input-rep1/masops-eval/django__django-11885/report.json,,2026-05-18T23:31:54.328188+00:00,2026-05-18T23:32:38.225768+00:00,,2810,,,
synthetic_expand_scope,rodada-2-django__django-11885-rep1-synthetic_expand_scope-05ceab87,django__django-11885,1,hard,django/django,8999e8c2295618fd,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",3489,14.158,TP,logs/run_evaluation/eval-rodada-2-django__django-11885-synthetic_expand_scope-input-rep1/masops-eval/django__django-11885/report.json,,2026-05-18T23:32:38.226356+00:00,2026-05-18T23:33:24.402454+00:00,,3489,,,
gold,rodada-2-django__django-12193-rep1-gold-2aa32bdf,django__django-12193,1,easy,django/django,5cca9d8a9087d9d3,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",1827,7.837,TP,logs/run_evaluation/eval-rodada-2-django__django-12193-gold-input-rep1/masops-eval/django__django-12193/report.json,,2026-05-18T22:25:18.955690+00:00,2026-05-18T22:25:57.824517+00:00,,1827,,,
synthetic_invert_conditional,rodada-2-django__django-12193-rep1-synthetic_invert_conditional-9f5f9228,django__django-12193,1,easy,django/django,ab1ff44fbc49325e,not_resolved,reject,fixer_guardian_loop,"Detective root_cause: The expression `attrs = {**(attrs and {}), 'checked': True}` introduces a regression. If `attrs` is `None`, `attrs and {}` evaluates to `None`, which raises a `TypeError` when unpacked (`**None`). If `attrs` is a populated dictionary, `attrs and {}` evaluates to `{}`, causing all existing attributes (like 'id' or 'class') to be discarded. The author likely intended `attrs or {}`.

Guardian notes: The plan correctly identifies the root cause (using `and` instead of `or` in the dictionary unpacking expression) and proposes a minimal, targeted fix. The single-character change from `and` to `or` addresses both failure modes: the `TypeError` when `attrs` is `None` (since `None or {}` evaluates to `{}`) and the attribute-discarding behavior when `attrs` is a populated dict (since `dict or {}` evaluates to `dict`, preserving existing keys). The fix is localized to one line in one file, making regressions extremely unlikely.

Suggestions: Consider verifying that there are existing tests covering the case where attrs is passed as a populated dict to the checkbox widget's get_context, and if not, adding a regression test to prevent future recurrence.","diff --git a/django/forms/widgets.py b/django/forms/widgets.py
index 6fe220bea7..d83d63c169 100644
--- a/django/forms/widgets.py
+++ b/django/forms/widgets.py
@@ -522,9 +522,7 @@ class CheckboxInput(Input):
 
     def get_context(self, name, value, attrs):
         if self.check_test(value):
-            if attrs is None:
-                attrs = {}
-            attrs['checked'] = True
+            attrs = {**(attrs or {}), 'checked': True}
         return super().get_context(name, value, attrs)
 
     def value_from_datadict(self, data, files, name):
",resolved,1,"detective_pr,fixer,fixer_guardian,executor_guardian,communicator",18271,130.199,TN,logs/run_evaluation/eval-rodada-2-django__django-12193-synthetic_invert_conditional-input-rep1/masops-eval/django__django-12193/report.json,logs/run_evaluation/eval-rodada-2-django__django-12193-synthetic_invert_conditional-alt-rep1/masops-eval/django__django-12193/report.json,2026-05-18T22:25:57.825003+00:00,2026-05-18T22:29:09.910288+00:00,,2558,1865.0,1074.0,12774.0
gold,rodada-2-django__django-12276-rep1-gold-7b3c3393,django__django-12276,1,easy,django/django,104ede2ba3131ad8,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",2147,11.911,TP,logs/run_evaluation/eval-rodada-2-django__django-12276-gold-input-rep1/masops-eval/django__django-12276/report.json,,2026-05-18T22:29:09.910612+00:00,2026-05-18T22:29:52.897173+00:00,,2147,,,
synthetic_expand_scope,rodada-2-django__django-12276-rep1-synthetic_expand_scope-8013bf6a,django__django-12276,1,easy,django/django,1e3d2c9ce8472088,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",2012,8.439,TP,logs/run_evaluation/eval-rodada-2-django__django-12276-synthetic_expand_scope-input-rep1/masops-eval/django__django-12276/report.json,,2026-05-18T22:29:52.897602+00:00,2026-05-18T22:30:32.327144+00:00,,2012,,,
gold,rodada-2-django__django-12663-rep1-gold-fb3e3402,django__django-12663,1,medium,django/django,aef228ae701c1432,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",2283,5.911,TP,logs/run_evaluation/eval-rodada-2-django__django-12663-gold-input-rep1/masops-eval/django__django-12663/report.json,,2026-05-18T23:06:49.931632+00:00,2026-05-18T23:07:27.132789+00:00,,2283,,,
synthetic_remove_addition,rodada-2-django__django-12663-rep1-synthetic_remove_addition-25da1dc6,django__django-12663,1,medium,django/django,c9405fe4327e6092,not_resolved,reject,fixer_guardian_loop,"Detective root_cause: The `output_field` property in `Query` now assigns `self.select[0]` to a local variable `select` instead of returning its `field`. This causes the property to implicitly return `None` when `len(self.select) == 1`, which breaks query construction and evaluation that relies on resolving the output field.

Guardian notes: The plan correctly identifies a missing return statement in the `output_field` property of the `Query` class. The root cause is clear: the property assigns `self.select[0]` to a local variable `select` but never returns `select.field`, causing the property to implicitly return `None`. The fix is minimal, highly localized, and directly addresses the bug. The single file modification is appropriate and the risk of regression is low since it restores expected behavior without altering any other logic.

Suggestions: Consider adding a regression test that exercises the `output_field` property when `len(self.select) == 1` to prevent this class of bug from reappearing silently.",,none,1,"detective_pr,fixer,fixer_guardian,communicator",5646,76.09,TN,logs/run_evaluation/eval-rodada-2-django__django-12663-synthetic_remove_addition-input-rep1/masops-eval/django__django-12663/report.json,,2026-05-18T23:07:27.133238+00:00,2026-05-18T23:09:14.448172+00:00,,2791,1832.0,1023.0,
gold,rodada-2-django__django-12774-rep1-gold-d0d88262,django__django-12774,1,medium,django/django,d0b9b8daa663676e,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",2205,7.844,TP,logs/run_evaluation/eval-rodada-2-django__django-12774-gold-input-rep1/masops-eval/django__django-12774/report.json,,2026-05-18T23:09:14.448544+00:00,2026-05-18T23:09:53.719188+00:00,,2205,,,
synthetic_invert_conditional,rodada-2-django__django-12774-rep1-synthetic_invert_conditional-baa39dc5,django__django-12774,1,medium,django/django,0ed3782f2c4f1e76,not_resolved,reject,fixer_guardian_loop,"Detective root_cause: The condition `len(constraint.fields) != 1` incorrectly selects fields from multi-field unique constraints (which are not individually unique) and excludes fields from single-field unique constraints. It must be `len(constraint.fields) == 1` to ensure the field itself is unique.

Guardian notes: The fix is a simple one-character change (!=  to ==) that directly addresses the identified root cause. The condition `len(constraint.fields) != 1` was logically inverted, causing single-field unique constraints to be excluded and multi-field constraints to be incorrectly included. Changing to `== 1` correctly identifies fields that are individually unique via a single-field unique constraint. The plan is complete, minimal in scope, clearly executable, and targets the exact location of the bug.

Suggestions: Consider verifying that tests exist for the `in_bulk` method with both single-field and multi-field unique constraints, and add regression tests if missing, to prevent future regressions.",,none,1,"detective_pr,fixer,fixer_guardian,communicator",4842,66.136,TN,logs/run_evaluation/eval-rodada-2-django__django-12774-synthetic_invert_conditional-input-rep1/masops-eval/django__django-12774/report.json,,2026-05-18T23:09:53.719642+00:00,2026-05-18T23:11:30.817968+00:00,,2210,1634.0,998.0,
gold,rodada-2-django__django-13109-rep1-gold-2257c2da,django__django-13109,1,easy,django/django,be1eade12da913d4,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",1551,3.6,TP,logs/run_evaluation/eval-rodada-2-django__django-13109-gold-input-rep1/masops-eval/django__django-13109/report.json,,2026-05-18T22:30:32.327498+00:00,2026-05-18T22:31:07.849825+00:00,,1551,,,
synthetic_remove_critical_line,rodada-2-django__django-13109-rep1-synthetic_remove_critical_line-99911abd,django__django-13109,1,easy,django/django,e0991a697527b4a7,not_resolved,reject,fixer_guardian_loop,"Detective root_cause: The pull request removes a critical line of code without replacing it, leaving the subsequent lines containing `**{self.remote_field.field_name: value}` and `)` dangling. This causes a SyntaxError.

Guardian notes: The plan correctly identifies the root cause (an accidentally removed line causing a SyntaxError) and proposes a minimal, targeted fix: restoring the missing `qs = self.remote_field.model._default_manager.using(using).filter(` line. The step is clear, executable, and scoped to exactly the broken construct. No other changes are proposed, keeping the scope minimal. The risk is low since this is a pure restoration of previously working code.

Suggestions: Consider verifying the surrounding context (indentation level, the `using` variable being in scope, and the closing parenthesis alignment) before applying to ensure the restored line integrates cleanly with the existing block structure.",,none,1,"detective_pr,fixer,fixer_guardian,communicator",4436,59.797,TN,logs/run_evaluation/eval-rodada-2-django__django-13109-synthetic_remove_critical_line-input-rep1/masops-eval/django__django-13109/report.json,,2026-05-18T22:31:07.850301+00:00,2026-05-18T22:32:38.122353+00:00,,1906,1566.0,964.0,
gold,rodada-2-django__django-13128-rep1-gold-bf7f5770,django__django-13128,1,hard,django/django,94a9113eaa93a0d6,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",1817,7.712,TP,logs/run_evaluation/eval-rodada-2-django__django-13128-gold-input-rep1/masops-eval/django__django-13128/report.json,,2026-05-18T23:33:24.402804+00:00,2026-05-18T23:34:04.070555+00:00,,1817,,,
synthetic_remove_critical_line,rodada-2-django__django-13128-rep1-synthetic_remove_critical_line-06a15940,django__django-13128,1,hard,django/django,d1a5b724a1bcf759,not_resolved,approve,detective,"Detective root_cause: Critical temporal subtraction and duration field conversion logic has been removed from CombinedExpression.as_sql without proper replacement. Additionally, the added line in resolve_expression (`lhs = self.lhs.resolve_express`) is incomplete and missing the method call and arguments, which will cause runtime errors.

Guardian notes: The fix plan is empty — it contains no concrete steps whatsoever. It only states a risk level of 'unknown' with no description of what changes need to be made, which files to modify, or how to restore the missing temporal subtraction/duration field conversion logic in CombinedExpression.as_sql or fix the incomplete resolve_expression line. This does not qualify as a valid plan with executable steps, nor does it conclude that no change is needed with justification.

Blocking issues: The plan contains no concrete steps or actions. It is effectively empty and provides no guidance on how to fix the identified root cause (missing temporal subtraction logic in CombinedExpression.as_sql and incomplete resolve_expression assignment).

Suggestions: The plan should specify restoring the temporal subtraction and duration field conversion logic in CombinedExpression.as_sql that was removed.; The plan should specify fixing the incomplete line `lhs = self.lhs.resolve_express` in resolve_expression to include the proper method name and arguments (likely `resolve_expression(query, allow_joins, reuse, summarize, for_save)`).; The plan should identify the exact lines/blocks to restore in django/db/models/expressions.py.",,none,3,"detective_pr,fixer,fixer_guardian,communicator",15571,92.467,FP,logs/run_evaluation/eval-rodada-2-django__django-13128-synthetic_remove_critical_line-input-rep1/masops-eval/django__django-13128/report.json,,2026-05-18T23:34:04.071116+00:00,2026-05-18T23:36:06.374464+00:00,,2631,10169.0,2771.0,
gold,rodada-2-django__django-13212-rep1-gold-5da8a92d,django__django-13212,1,hard,django/django,e5289566e5f9bfe9,resolved,reject,fixer_guardian_loop,"Detective root_cause: The patch introduces invalid Python code in `django/core/validators.py` by replacing a valid `raise ValidationError(...)` with an incomplete `raise Validation` statement, causing a syntax/NameError. Additionally, in `django/forms/fields.py`, the `validate` method (which ensures the numeric value `is_finite()`) is removed entirely without replacement.

Guardian notes: The plan correctly identifies two distinct issues: (1) a truncated/invalid `raise Validation` statement in `django/core/validators.py` that needs to be completed to `raise ValidationError(self.message, code=self.code, params={'value': value})`, and (2) a removed `validate` method in `django/forms/fields.py` that performs `is_finite()` checks. Both steps are concrete, targeted, and address the root cause directly. The plan is minimal in scope — only touching the two affected files — and the risk of regressions is low since these are restorations of previously correct code rather than new logic.

Suggestions: When restoring the `validate` method in `django/forms/fields.py`, ensure the exact original method signature and body are recovered (including the `super().validate(value)` call order and the empty-value guard) to avoid subtle behavioral differences.; Consider adding a note about verifying the fix against existing test cases for URL validation and numeric field validation to confirm correctness of the restored code.",,none,1,"detective_pr,fixer,fixer_guardian,communicator",6360,72.17,FN,logs/run_evaluation/eval-rodada-2-django__django-13212-gold-input-rep1/masops-eval/django__django-13212/report.json,,2026-05-18T23:36:06.374836+00:00,2026-05-18T23:37:49.409027+00:00,,2933,2202.0,1225.0,
synthetic_remove_addition,rodada-2-django__django-13212-rep1-synthetic_remove_addition-2deeda5f,django__django-13212,1,hard,django/django,0fe2fb4a8cadf9e9,not_resolved,reject,fixer_guardian_loop,"Detective root_cause: The patch in django/core/validators.py contains an incomplete statement 'raise Validation', which will cause a NameError at runtime since 'Validation' is not defined (it should be 'ValidationError'). Additionally, the 'validate' method for a form field (likely DecimalField or FloatField) was completely removed in django/forms/fields.py, breaking finite number validation.

Guardian notes: The plan correctly identifies two distinct bugs: (1) an incomplete 'raise Validation' statement in django/core/validators.py that would cause a NameError, and (2) an accidentally removed 'validate' method in django/forms/fields.py that handles finite number validation. Both fixes are targeted, minimal, and directly address the root cause. The steps are clear and executable. The risk assessment is accurate — these are localized fixes with no broad architectural changes.

Suggestions: Step 2 could be more specific about which class (DecimalField vs FloatField) has the missing validate method, and ideally reference the exact method signature and body to be restored (e.g., checking git history or the PR diff for the exact deleted code) to avoid guessing during implementation.; Consider verifying that existing tests for URLValidator and the relevant form field still pass after the fix, and potentially adding a regression test for the 'value' param in the ValidationError raised by URLValidator.",,none,1,"detective_pr,fixer,fixer_guardian,communicator",6459,73.465,TN,logs/run_evaluation/eval-rodada-2-django__django-13212-synthetic_remove_addition-input-rep1/masops-eval/django__django-13212/report.json,,2026-05-18T23:37:49.409618+00:00,2026-05-18T23:39:33.008617+00:00,,2249,3009.0,1201.0,
gold,rodada-2-django__django-13837-rep1-gold-f06e43de,django__django-13837,1,hard,django/django,43af4ecf3fe14bc7,resolved,approve,detective,(no justification produced),,none,0,"detective_pr,communicator",3369,15.935,TP,logs/run_evaluation/eval-rodada-2-django__django-13837-gold-input-rep1/masops-eval/django__django-13837/report.json,,2026-05-18T23:39:33.009036+00:00,2026-05-18T23:40:20.385407+00:00,,3369,,,
synthetic_invert_conditional,rodada-2-django__django-13837-rep1-synthetic_invert_conditional-ae3159c3,django__django-13837,1,hard,django/django,1c6737bb943ee1f1,not_resolved,reject,fixer_guardian_loop,"Detective root_cause: The condition `__main__.__spec__ is not None or __main__.__spec__.parent` uses `or` instead of `and`. When a script is run directly (without `-m`), `__main__.__spec__` is `None`. The first condition (`is not None`) evaluates to `False`, causing the second condition `__main__.__spec__.parent` to evaluate, which raises an `AttributeError: 'NoneType' object has no attribute 'parent'`.

Guardian notes: The plan correctly identifies the root cause (short-circuit evaluation failure due to `or` instead of `and`) and proposes a minimal, targeted fix. The change from `or` to `and` in the condition `__main__.__spec__ is not None and __main__.__spec__.parent` properly short-circuits evaluation when `__main__.__spec__` is `None`, preventing the `AttributeError`. The fix is confined to a single line in one file, is logically sound, and carries very low regression risk.

Suggestions: Consider adding a test case covering the scenario where a script is run directly (without `-m`) to prevent regression of this specific bug in the future.","diff --git a/django/utils/autoreload.py b/django/utils/autoreload.py
index b8efb9f881..77f6d16819 100644
--- a/django/utils/autoreload.py
+++ b/django/utils/autoreload.py
@@ -216,14 +216,13 @@ def get_child_arguments():
     executable is reported to not have the .exe extension which can cause bugs
     on reloading.
     """"""
-    import django.__main__
-    django_main_path = Path(django.__main__.__file__)
+    import __main__
     py_script = Path(sys.argv[0])
 
     args = [sys.executable] + ['-W%s' % o for o in sys.warnoptions]
-    if py_script == django_main_path:
-        # The server was started with `python -m django runserver`.
-        args += ['-m', 'django']
+    if __main__.__spec__ is not None and __main__.__spec__.parent:
+        # The server was started with `python -m pkg`.
+        args += ['-m', __main__.__spec__.parent]
         args += sys.argv[1:]
     elif not py_script.exists():
         # sys.argv[0] may not exist for several reasons on Windows.
",resolved,1,"detective_pr,fixer,fixer_guardian,executor_guardian,communicator",15147,138.777,TN,logs/run_evaluation/eval-rodada-2-django__django-13837-synthetic_invert_conditional-input-rep1/masops-eval/django__django-13837/report.json,logs/run_evaluation/eval-rodada-2-django__django-13837-synthetic_invert_conditional-alt-rep1/masops-eval/django__django-13837/report.json,2026-05-18T23:40:20.385866+00:00,2026-05-18T23:43:44.055554+00:00,,2666,1999.0,1076.0,9406.0
gold,rodada-2-django__django-14580-rep1-gold-9d649a19,django__django-14580,1,easy,django/django,b86a035653ee3b5d,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",1666,5.41,TP,logs/run_evaluation/eval-rodada-2-django__django-14580-gold-input-rep1/masops-eval/django__django-14580/report.json,,2026-05-18T22:32:38.122717+00:00,2026-05-18T22:33:12.134011+00:00,,1666,,,
synthetic_remove_addition,rodada-2-django__django-14580-rep1-synthetic_remove_addition-3f5cc6cc,django__django-14580,1,easy,django/django,762f3535b5a51814,not_resolved,approve,detective,(no justification produced),,none,0,"detective_pr,communicator",3254,16.347,FP,logs/run_evaluation/eval-rodada-2-django__django-14580-synthetic_remove_addition-input-rep1/masops-eval/django__django-14580/report.json,,2026-05-18T22:33:12.134431+00:00,2026-05-18T22:33:57.230658+00:00,,3254,,,
gold,rodada-2-django__django-14792-rep1-gold-f42fea5f,django__django-14792,1,easy,django/django,f8e961d2a0cd91d6,resolved,approve,detective,(no justification produced),,none,0,"detective_pr,communicator",3282,18.982,TP,logs/run_evaluation/eval-rodada-2-django__django-14792-gold-input-rep1/masops-eval/django__django-14792/report.json,,2026-05-18T22:33:57.231052+00:00,2026-05-18T22:34:45.020271+00:00,,3282,,,
synthetic_invert_conditional,rodada-2-django__django-14792-rep1-synthetic_invert_conditional-ba085330,django__django-14792,1,easy,django/django,fff126a6f6db5a0c,not_resolved,reject,fixer_guardian_loop,"Detective root_cause: Logical operator inversion: `timezone.tzname(None) and str(timezone)` is used instead of `timezone.tzname(None) or str(timezone)`. This incorrectly returns `str(timezone)` when a `tzname` is available, defeating the purpose of the fix by reverting to the buggy Django 3.2 behavior, and returns a falsy value if `tzname` is unset.

Guardian notes: The plan correctly identifies the root cause (logical operator inversion: `and` vs `or`) and proposes a minimal, targeted fix. The single-line change in `django/utils/timezone.py` directly addresses the diagnosed problem. The fix is logically sound: `or` will return `timezone.tzname(None)` when truthy and fall back to `str(timezone)` otherwise, which is the intended behavior. The plan is complete, feasible, minimal in scope, and carries very low risk of regressions.

Suggestions: Consider adding or updating a unit test to verify that `_get_timezone_name` returns `tzname` when available and falls back to `str(timezone)` when `tzname` is falsy, to prevent future regressions from similar logic inversions.","diff --git a/django/utils/timezone.py b/django/utils/timezone.py
index bb2b6b9594..732d91645e 100644
--- a/django/utils/timezone.py
+++ b/django/utils/timezone.py
@@ -73,7 +73,7 @@ def get_current_timezone_name():
 
 def _get_timezone_name(timezone):
     """"""Return the name of ``timezone``.""""""
-    return str(timezone)
+    return timezone.tzname(None) or str(timezone)
 
 # Timezone selection functions.
 
",resolved,1,"detective_pr,fixer,fixer_guardian,executor_guardian,communicator",9781,128.109,TN,logs/run_evaluation/eval-rodada-2-django__django-14792-synthetic_invert_conditional-input-rep1/masops-eval/django__django-14792/report.json,logs/run_evaluation/eval-rodada-2-django__django-14792-synthetic_invert_conditional-alt-rep1/masops-eval/django__django-14792/report.json,2026-05-18T22:34:45.020722+00:00,2026-05-18T22:37:50.506118+00:00,,2569,1646.0,1063.0,4503.0
gold,rodada-2-django__django-15128-rep1-gold-8ff4239c,django__django-15128,1,hard,django/django,8c9e92991c30d98e,resolved,approve,detective,Detective root_cause: No material issues found,,none,0,"detective_pr,communicator",3460,15.914,TP,logs/run_evaluation/eval-rodada-2-django__django-15128-gold-input-rep1/masops-eval/django__django-15128/report.json,,2026-05-18T23:43:44.055894+00:00,2026-05-18T23:44:30.196110+00:00,,3460,,,
